time_stamp,sender_retrans,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
02:47:51 PM,0,511705088,507510784,0,0,0,0,427819008,415236096,503767040,3.71082961559296
02:47:52 PM,0,515899392,507510784,0,0,0,0,423624704,427819008,510189568,3.81581807136536
02:47:53 PM,0,511705088,507510784,0,0,0,0,423624704,427819008,507977728,3.71910601854324
02:47:54 PM,0,511705088,511705088,0,0,0,0,427819008,419430400,497037312,3.7892946600914
02:47:55 PM,0,503316480,508035072,0,0,0,0,423624704,419430400,499335168,3.681640625
02:47:56 PM,0,482344960,506986496,0,0,0,0,427819008,423624704,477835264,3.6396484375
02:47:57 PM,0,473956352,507510784,0,0,0,0,427819008,423624704,459620352,3.439453125
02:47:58 PM,0,0,507510784,0,0,0,0,423624704,423624704,457773056,3.515625
02:47:59 PM,0,469762048,511705088,0,0,0,0,415236096,411041792,369577984,3.3896484375
02:48:00 PM,0,373293056,507510784,0,0,0,0,419430400,415236096,252313600,1.9423828125
02:48:01 PM,0,264241152,507510784,0,0,0,0,423624704,419430400,243007488,1.916015625
02:48:02 PM,0,251658240,507510784,0,0,0,0,423624704,415236096,263847936,1.8359375
02:48:03 PM,0,243269632,507510784,0,0,0,0,436207616,432013312,239742976,1.8515625
02:48:04 PM,0,268435456,503316480,0,0,0,0,415236096,415236096,255197184,1.9296875
02:48:05 PM,16,251658240,507510784,0,0,0,0,331350016,369098752,246153216,1.7568359375
02:48:06 PM,0,239075328,503316480,0,0,0,0,243269632,247463936,244584448,1.96875
02:48:07 PM,0,264241152,507510784,0,0,0,0,247463184,255851792,257822720,1.78125
02:48:08 PM,0,264241152,507510784,0,0,0,0,276822560,264241152,270671872,1.8759765625
02:48:09 PM,0,264241152,503316480,0,0,0,0,260046848,264239648,254672896,2.0087890625
02:48:10 PM,0,268435456,507510784,0,0,0,0,268435456,251658240,254803968,1.958984375
02:48:11 PM,0,264241152,507510784,0,0,0,0,0,260046848,253886464,1.96875
02:48:12 PM,0,243269632,503316480,0,0,0,0,260046848,251658240,251170816,1.72265625
02:48:13 PM,0,251658240,503316480,0,0,0,0,247463936,260135872,241381376,1.96484375
02:48:14 PM,0,264241152,507510784,0,0,0,0,247552960,239075328,262426624,1.7978515625
02:48:15 PM,0,255852544,507510784,0,0,0,0,260046096,255851792,237375488,1.857421875
02:48:16 PM,0,247463936,507510784,0,0,0,0,260046848,260046848,253366272,1.94140625
02:48:17 PM,0,255852544,507510784,0,0,0,0,251658240,243269632,262668288,1.7900390625
02:48:18 PM,0,264241152,507510784,0,0,0,0,251658240,255852544,242089984,1.921875
02:48:19 PM,0,260046848,507510784,0,0,0,0,264241152,260046848,262799360,1.8671875
02:48:20 PM,0,247463936,507510784,0,0,0,0,260046848,251658240,240848896,1.8505859375
02:48:21 PM,0,260046848,507510784,0,0,0,0,247463936,255852544,254078976,1.896484375
