ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/socket.py:235(__enter__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/socket.py:238(__exit__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/socket.py:502(detach)
110,0.192,0.002,0.192,0.002,{built-in method _posixsubprocess.fork_exec}
212,0.001,0.000,0.001,0.000,{built-in method now}
101,0.001,0.000,0.001,0.000,{built-in method fromtimestamp}
211,0.001,0.000,0.001,0.000,{method 'timestamp' of 'datetime.datetime' objects}
101,0.001,0.000,0.001,0.000,{method 'isoformat' of 'datetime.datetime' objects}
1,0.000,0.000,0.000,0.000,{method 'strftime' of 'datetime.date' objects}
102,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/psutil/_compat.py:46(b)
110,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/subprocess.py:241(_cleanup)
110,0.007,0.000,0.416,0.004,/usr/local/lib/python3.8/subprocess.py:736(__init__)
109,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/subprocess.py:939(__del__)
110,0.002,0.000,0.563,0.005,/usr/local/lib/python3.8/subprocess.py:984(communicate)
110,0.001,0.000,0.007,0.000,/usr/local/lib/python3.8/subprocess.py:1078(wait)
110,0.004,0.000,0.011,0.000,/usr/local/lib/python3.8/subprocess.py:1101(_close_pipe_fds)
2956,0.006,0.000,0.063,0.000,/usr/local/lib/python3.8/site-packages/psutil/_common.py:443(wrapper)
110,0.000,0.000,0.001,0.000,/usr/local/lib/python3.8/subprocess.py:1459(_get_handles)
5,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/subprocess.py:1634(<genexpr>)
110,0.009,0.000,0.404,0.004,/usr/local/lib/python3.8/subprocess.py:1552(_execute_child)
110,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/subprocess.py:1708(_handle_exitstatus)
109,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/subprocess.py:1726(_internal_poll)
110,0.001,0.000,0.005,0.000,/usr/local/lib/python3.8/subprocess.py:1761(_try_wait)
110,0.001,0.000,0.006,0.000,/usr/local/lib/python3.8/subprocess.py:1774(_wait)
52872,0.014,0.000,0.282,0.000,/usr/local/lib/python3.8/site-packages/psutil/_common.py:710(open_binary)
