time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
03:34:37 PM,95158272,0,94765056,0,608305152,0,0,0,92274688,0,92274688,0,95289344,89886720,0.669921875
03:34:38 PM,90439680,0,90439680,0,597295104,0,0,0,92274688,0,88080384,0,94633984,90206208,0.6708984375
03:34:39 PM,92012544,0,91357184,0,599654400,0,0,0,92274688,0,92274688,0,91095040,88211456,0.652057647705078
03:34:40 PM,91488256,0,86376448,0,614334464,0,0,0,88080384,0,83886080,0,92274688,84066304,0.625
03:34:41 PM,84803584,0,84148224,0,595066880,0,29,0,83886080,0,79691776,0,85327872,77156352,0.577731013298035
03:34:42 PM,79691776,0,78118912,0,593887232,0,56,0,79685928,0,79685928,0,83492864,81862656,0.6044921875
03:34:43 PM,82444288,0,81395712,0,595460096,0,6,0,79691776,0,83886080,0,81133568,79360000,0.5908203125
03:34:44 PM,81657856,0,81133568,0,595591168,0,44,0,83886080,0,79691776,0,82313216,80871424,0.5952068567276
03:34:45 PM,82313216,0,78381056,0,598343680,0,11,0,75493824,0,75493824,0,82706432,76550144,0.578125
03:34:46 PM,77987840,0,79691776,0,591134720,0,35,0,83886080,0,83886080,0,75497472,81133568,0.6044921875
03:34:47 PM,82575360,0,82182144,0,600440832,0,45,0,83886080,0,83886080,0,84541440,83099648,0.6162109375
03:34:48 PM,84672512,0,82313216,0,599130112,0,40,0,83875136,0,83875136,0,83623936,83771392,0.6279296875
03:34:49 PM,85458944,0,85852160,0,602013696,0,53,0,88076736,0,83882432,0,84672512,86249472,0.6455078125
03:34:50 PM,88473600,0,89260032,0,598081536,0,89,0,96468992,0,92274688,0,86638592,93716480,0.6962890625
03:34:51 PM,95158272,0,93585408,0,611581952,0,52,0,92274688,0,92274688,0,95027200,92155904,0.6860271692276
03:34:52 PM,93716480,0,92405760,0,607518720,0,22,0,96468992,0,96468992,0,93847552,94240768,0.703125
03:34:53 PM,96075776,0,95289344,0,608829440,0,49,0,96468992,0,92274688,0,95944704,92405760,0.6865234375
03:34:54 PM,93585408,0,92536832,0,606339072,0,51,0,92271040,0,92271040,0,95027200,91758592,0.6845703125
03:34:55 PM,93716480,0,92274688,0,605945856,0,41,0,92273936,0,92273936,0,93847552,89522176,0.6630859375
03:34:56 PM,90701824,0,90046464,0,606601216,0,61,0,92274688,0,92274688,0,90832896,90796032,0.6748046875
,,,,,,,,,,,,,,,0.607421875
,,,,,,,,,,,,,,,0.6220703125
,,,,,,,,,,,,,,,0.613410711288452
,,,,,,,,,,,,,,,0.618698298931122
